tconst	averageRating	numVotes
tt0000001	5.7	1724
tt0000002	6.0	211
tt0000003	6.5	1488
tt0000004	6.1	125
tt0000005	6.2	2289
tt0000006	5.1	128
tt0000007	5.4	698
tt0000008	5.5	1892
tt0000009	5.8	156
tt0000010	6.9	6400
